iter	Passed	Remaining
224	509	1756
225	511	1750
226	513	1747
227	514	1741
228	515	1736
229	517	1731
230	518	1725
231	520	1723
232	521	1717
233	523	1712
234	524	1706
235	525	1701
236	526	1696
237	528	1690
238	529	1685
239	530	1680
240	531	1675
241	533	1671
242	535	1668
243	537	1665
244	538	1660
245	540	1655
246	541	1650
247	542	1645
248	544	1640
249	545	1636
250	547	1632
251	548	1628
252	550	1625
253	551	1621
254	553	1617
255	554	1612
256	556	1609
257	557	1604
258	558	1599
259	560	1594
260	561	1590
261	563	1586
262	565	1583
263	566	1580
264	568	1576
265	569	1571
266	570	1566
267	571	1561
268	572	1557
269	574	1552
270	575	1549
271	577	1545
272	579	1542
273	580	1538
274	581	1534
275	583	1530
276	584	1525
277	585	1520
278	586	1515
279	587	1511
280	588	1506
281	590	1503
282	591	1499
283	593	1496
284	595	1493
285	596	1489
286	597	1484
287	598	1480
288	600	1476
289	601	1472
290	602	1467
291	603	1462
292	604	1458
293	605	1453
294	606	1450
295	608	1447
296	610	1444
297	611	1440
298	612	1436
299	613	1431
300	614	1427
301	615	1423
302	616	1419
303	617	1414
304	619	1410
305	620	1406
306	621	1403
307	623	1399
308	624	1396
309	625	1393
310	627	1389
311	628	1385
312	629	1381
313	630	1377
314	632	1374
315	633	1372
316	634	1368
317	636	1365
318	638	1362
319	639	1359
320	640	1355
321	642	1352
322	643	1348
323	644	1345
324	645	1341
325	648	1340
326	649	1337
327	651	1334
328	653	1332
329	655	1330
330	656	1326
331	658	1324
332	659	1320
333	660	1317
334	661	1313
335	663	1310
336	664	1308
337	666	1305
338	668	1302
339	670	1301
340	671	1297
341	672	1294
342	674	1291
343	675	1287
344	676	1284
345	678	1281
346	679	1278
347	680	1275
348	682	1272
349	683	1269
350	685	1266
351	686	1263
352	688	1261
353	689	1258
354	691	1255
355	692	1253
356	695	1252
357	697	1251
358	699	1249
359	701	1246
360	702	1243
361	703	1240
362	705	1237
363	706	1234
364	707	1231
365	709	1228
366	710	1225
367	713	1224
368	715	1222
369	716	1219
370	717	1216
371	719	1213
372	720	1211
373	721	1208
374	723	1205
375	725	1204
376	727	1201
377	729	1200
378	731	1197
379	732	1195
380	734	1192
381	735	1190
382	737	1187
383	739	1186
384	741	1184
385	743	1182
386	744	1179
387	746	1177
388	747	1174
389	749	1171
390	750	1168
391	751	1165
392	753	1163
393	754	1160
394	756	1159
395	758	1156
396	759	1153
397	760	1150
398	761	1147
399	763	1144
400	764	1141
401	765	1138
402	766	1134
403	767	1132
404	768	1129
405	770	1127
406	772	1125
407	773	1122
408	774	1119
409	776	1116
410	777	1114
411	778	1110
412	779	1108
413	780	1105
414	781	1102
415	783	1099
416	784	1096
417	786	1094
418	787	1092
419	788	1089
420	790	1086
421	791	1083
422	792	1080
423	793	1077
424	794	1075
425	795	1072
426	796	1068
427	797	1066
428	799	1063
429	800	1061
430	802	1059
431	804	1057
432	805	1054
433	806	1051
434	807	1048
435	808	1045
436	809	1043
437	810	1040
438	812	1037
439	813	1035
440	815	1033
441	817	1031
442	818	1029
443	819	1026
444	820	1023
445	821	1020
446	823	1018
447	824	1015
448	825	1012
449	825	1009
450	827	1006
451	828	1004
452	830	1003
453	832	1000
454	833	998
455	834	995
456	835	992
457	836	990
458	838	987
459	839	985
460	840	982
461	841	979
462	842	977
463	845	976
464	846	974
465	848	971
466	849	969
467	850	966
468	851	964
469	852	961
470	853	959
471	855	956
472	856	953
473	857	951
474	859	950
475	861	948
476	862	945
477	863	943
478	865	941
479	866	938
480	867	936
481	868	933
482	869	931
483	870	928
484	872	926
485	874	925
486	875	922
487	877	920
488	878	917
489	879	915
490	880	912
491	881	910
492	882	908
493	884	905
494	886	904
495	888	902
496	889	900
497	890	897
498	892	896
499	894	894
500	895	891
501	896	889
502	898	887
503	899	885
504	900	882
505	902	880
506	904	879
507	905	877
508	907	875
509	908	872
510	909	870
511	910	867
512	911	865
513	913	863
514	914	860
515	915	858
516	916	856
517	917	854
518	919	852
519	921	850
520	922	848
521	923	845
522	924	843
523	925	841
524	927	838
525	928	836
526	930	834
527	931	833
528	934	831
529	935	829
530	936	827
531	937	824
532	938	822
533	939	820
534	940	817
535	942	816
536	944	813
537	945	812
538	947	810
539	949	808
540	950	806
541	951	804
542	952	801
543	954	799
544	955	797
545	956	795
546	957	793
547	958	790
548	960	788
549	961	786
550	963	785
551	964	782
552	965	780
553	966	778
554	967	776
555	968	773
556	970	771
557	971	769
558	972	767
559	973	765
560	975	763
561	976	761
562	978	759
563	980	757
564	981	755
565	982	753
566	984	751
567	986	750
568	987	748
569	989	746
570	991	744
571	992	742
572	994	741
573	996	739
574	997	737
575	998	735
576	1000	733
577	1001	731
578	1003	729
579	1004	727
580	1006	726
581	1008	724
582	1010	722
583	1011	720
584	1013	718
585	1014	716
586	1015	714
587	1016	712
588	1018	710
589	1020	709
590	1022	707
591	1023	705
592	1025	704
593	1027	701
594	1028	699
595	1029	697
596	1030	695
597	1031	693
598	1033	692
599	1036	690
600	1038	689
601	1039	687
602	1040	685
603	1041	683
604	1043	681
605	1044	679
606	1046	677
607	1047	675
608	1049	674
609	1051	672
610	1052	670
611	1054	668
612	1055	666
613	1056	664
614	1057	662
615	1059	660
616	1060	658
617	1063	657
618	1065	655
619	1067	654
620	1068	652
621	1069	650
622	1071	648
623	1072	646
624	1073	644
625	1074	641
626	1075	639
627	1077	638
628	1079	636
629	1081	635
630	1082	632
631	1084	631
632	1085	629
633	1086	627
634	1087	625
635	1088	623
636	1090	621
637	1091	619
638	1093	617
639	1095	615
640	1096	614
641	1097	612
642	1098	610
643	1100	608
644	1101	606
645	1102	604
646	1103	602
647	1105	600
648	1107	598
649	1109	597
650	1110	595
651	1111	593
652	1113	591
653	1114	589
654	1115	587
655	1116	585
656	1117	583
657	1119	581
658	1120	579
659	1121	577
660	1123	576
661	1125	574
662	1126	572
663	1128	570
664	1129	569
665	1130	567
666	1132	565
667	1133	563
668	1135	561
669	1136	560
670	1140	559
671	1141	557
672	1143	555
673	1144	553
674	1146	551
675	1147	549
676	1148	548
677	1150	546
678	1151	544
679	1153	543
680	1155	541
681	1156	539
682	1158	537
683	1160	536
684	1161	534
685	1162	532
686	1163	530
687	1164	528
688	1166	526
689	1168	525
690	1170	523
691	1171	521
692	1173	519
693	1174	517
694	1175	515
695	1176	513
696	1177	512
697	1179	510
698	1180	508
699	1183	507
700	1184	505
701	1186	503
702	1188	502
703	1189	500
704	1191	498
705	1192	496
706	1194	495
707	1196	493
708	1198	491
709	1200	490
710	1201	488
711	1203	486
712	1204	484
713	1205	482
714	1207	481
715	1208	479
716	1210	477
717	1212	476
718	1213	474
719	1215	472
720	1216	470
721	1217	468
722	1218	466
723	1219	464
724	1220	462
725	1221	461
726	1222	459
727	1223	457
728	1225	455
729	1228	454
730	1230	452
731	1231	450
732	1232	449
733	1234	447
734	1235	445
735	1237	443
736	1240	442
737	1242	441
738	1243	439
739	1245	437
740	1246	435
741	1247	433
742	1248	431
743	1250	430
744	1251	428
745	1252	426
746	1254	424
747	1257	423
748	1259	421
749	1260	420
750	1261	418
751	1263	416
752	1264	414
753	1265	412
754	1266	411
755	1268	409
756	1270	407
757	1273	406
758	1274	404
759	1275	402
760	1277	401
761	1278	399
762	1279	397
763	1280	395
764	1282	393
765	1283	392
766	1284	390
767	1286	388
768	1288	387
769	1289	385
770	1290	383
771	1291	381
772	1293	379
773	1294	377
774	1295	376
775	1297	374
776	1299	372
777	1301	371
778	1302	369
779	1304	367
780	1305	366
781	1306	364
782	1308	362
783	1309	360
784	1310	358
785	1311	357
786	1313	355
787	1314	353
788	1316	352
789	1317	350
790	1318	348
791	1320	346
792	1321	344
793	1322	343
794	1323	341
795	1324	339
796	1325	337
797	1326	335
798	1328	334
799	1330	332
800	1331	330
801	1332	328
802	1333	327
803	1334	325
804	1335	323
805	1336	321
806	1337	319
807	1339	318
808	1340	316
809	1343	315
810	1344	313
811	1345	311
812	1346	309
813	1347	307
814	1348	306
815	1349	304
816	1350	302
817	1351	300
818	1352	298
819	1353	297
820	1354	295
821	1355	293
822	1356	291
823	1357	289
824	1358	288
825	1359	286
826	1361	284
827	1361	282
828	1362	281
829	1363	279
830	1364	277
831	1365	275
832	1367	274
833	1368	272
834	1369	270
835	1370	268
836	1372	267
837	1373	265
838	1375	263
839	1376	262
840	1377	260
841	1378	258
842	1379	256
843	1380	255
844	1382	253
845	1383	251
846	1384	250
847	1385	248
848	1386	246
849	1387	244
850	1389	243
851	1390	241
852	1391	239
853	1392	238
854	1393	236
855	1394	234
856	1396	232
857	1397	231
858	1398	229
859	1399	227
860	1400	226
861	1402	224
862	1404	222
863	1405	221
864	1406	219
865	1407	217
866	1409	216
867	1410	214
868	1411	212
869	1412	211
870	1413	209
871	1414	207
872	1415	205
873	1417	204
874	1418	202
875	1420	201
876	1421	199
877	1423	197
878	1424	196
879	1426	194
880	1427	192
881	1429	191
882	1430	189
883	1431	187
884	1433	186
885	1434	184
886	1435	182
887	1436	181
888	1437	179
889	1438	177
890	1439	176
891	1440	174
892	1441	172
893	1442	171
894	1443	169
895	1444	167
896	1446	166
897	1447	164
898	1448	162
899	1450	161
900	1451	159
901	1452	157
902	1453	156
903	1455	154
904	1456	152
905	1457	151
906	1458	149
907	1459	147
908	1461	146
909	1463	144
910	1464	143
911	1465	141
912	1467	139
913	1468	138
914	1469	136
915	1470	134
916	1472	133
917	1473	131
918	1474	129
919	1476	128
920	1478	126
921	1479	125
922	1481	123
923	1482	121
924	1483	120
925	1485	118
926	1486	117
927	1487	115
928	1488	113
929	1489	112
930	1491	110
931	1492	108
932	1493	107
933	1494	105
934	1496	104
935	1497	102
936	1498	100
937	1499	99
938	1501	97
939	1502	95
940	1503	94
941	1504	92
942	1505	90
943	1506	89
944	1508	87
945	1509	86
946	1510	84
947	1512	82
948	1513	81
949	1514	79
950	1515	78
951	1516	76
952	1517	74
953	1519	73
954	1521	71
955	1522	70
956	1523	68
957	1524	66
958	1526	65
959	1527	63
960	1528	62
961	1529	60
962	1530	58
963	1531	57
964	1533	55
965	1534	54
966	1536	52
967	1537	50
968	1538	49
969	1540	47
970	1541	46
971	1542	44
972	1543	42
973	1544	41
974	1545	39
975	1547	38
976	1548	36
977	1549	34
978	1550	33
979	1552	31
980	1553	30
981	1554	28
982	1555	26
983	1556	25
984	1557	23
985	1558	22
986	1559	20
987	1561	18
988	1562	17
989	1563	15
990	1564	14
991	1566	12
992	1567	11
993	1568	9
994	1569	7
995	1571	6
996	1572	4
997	1573	3
998	1574	1
999	1575	0
